date,Area,Cases,Move,Perc Move,Day to Dbl,3d M/Avg,3d Perc Move,3d Days to Dbl,7d M/Avg,7d Perc Move,7d Days to Dbl
03-04-2020,Drakenstein,6,0,0.0%,#DIV/0!, -   ,0.0%,#DIV/0!,,,
04-04-2020,Drakenstein,6,0,0.0%,#DIV/0!, -   ,0.0%,#DIV/0!,,,
05-04-2020,Drakenstein,6,0,0.0%,#DIV/0!, -   ,0.0%,#DIV/0!,,,
06-04-2020,Drakenstein,6,0,0.0%,#DIV/0!, -   ,0.0%,#DIV/0!, -   ,0.0%,#DIV/0!
07-04-2020,Drakenstein,6,0,0.0%,#DIV/0!, -   ,0.0%,#DIV/0!, -   ,0.0%,#DIV/0!
08-04-2020,Drakenstein,6,0,0.0%,#DIV/0!, -   ,0.0%,#DIV/0!, -   ,0.0%,#DIV/0!
09-04-2020,Drakenstein,6,0,0.0%,#DIV/0!, -   ,0.0%,#DIV/0!, -   ,0.0%,#DIV/0!
10-04-2020,Drakenstein,6,0,0.0%,#DIV/0!, -   ,0.0%,#DIV/0!, -   ,0.0%,#DIV/0!
11-04-2020,Drakenstein,6,0,0.0%,#DIV/0!, -   ,0.0%,#DIV/0!, -   ,0.0%,#DIV/0!
12-04-2020,Drakenstein,6,0,0.0%,#DIV/0!, -   ,0.0%,#DIV/0!, -   ,0.0%,#DIV/0!
13-04-2020,Drakenstein,6,0,0.0%,#DIV/0!, -   ,0.0%,#DIV/0!, -   ,0.0%,#DIV/0!
14-04-2020,Drakenstein,6,0,0.0%,#DIV/0!, -   ,0.0%,#DIV/0!, -   ,0.0%,#DIV/0!
15-04-2020,Drakenstein,6,0,0.0%,#DIV/0!, -   ,0.0%,#DIV/0!, -   ,0.0%,#DIV/0!
16-04-2020,Drakenstein,7,1,16.7%,6.0, 0.3 ,5.6%, 18.0 , 0.1 ,2.4%, 42.0 
17-04-2020,Drakenstein,7,0,0.0%,#DIV/0!, 0.3 ,4.8%, 21.0 , 0.1 ,2.0%, 49.0 
18-04-2020,Drakenstein,7,0,0.0%,#DIV/0!, 0.3 ,4.8%, 21.0 , 0.1 ,2.0%, 49.0 
19-04-2020,Drakenstein,7,0,0.0%,#DIV/0!, -   ,0.0%,#DIV/0!, 0.1 ,2.0%, 49.0 
20-04-2020,Drakenstein,7,0,0.0%,#DIV/0!, -   ,0.0%,#DIV/0!, 0.1 ,2.0%, 49.0 
21-04-2020,Drakenstein,8,1,14.3%,7.0, 0.3 ,4.8%, 21.0 , 0.3 ,4.1%, 24.5 
22-04-2020,Drakenstein,10,2,25.0%,4.0, 1.0 ,12.5%, 8.0 , 0.6 ,7.1%, 14.0 
23-04-2020,Drakenstein,11,1,10.0%,10.0, 1.3 ,13.3%, 7.5 , 0.6 ,5.7%, 17.5 
24-04-2020,Drakenstein,13,2,18.2%,5.5, 1.7 ,15.2%, 6.6 , 0.9 ,7.8%, 12.8 
29-03-2020,Stellenbosch,8,,,,,,,,,
31-03-2020,Stellenbosch,11,3,37.5%,2.7,,,,,,
01-04-2020,Stellenbosch,11,0,0.0%,#DIV/0!,,,,,,
02-04-2020,Stellenbosch,11,0,0.0%,#DIV/0!, 1.0 ,9.1%, 11.0 ,,,
03-04-2020,Stellenbosch,15,4,36.4%,2.8, 1.3 ,12.1%, 8.3 ,,,
04-04-2020,Stellenbosch,16,1,6.7%,15.0, 1.7 ,11.1%, 9.0 ,,,
05-04-2020,Stellenbosch,16,0,0.0%,#DIV/0!, 1.7 ,10.4%, 9.6 ,,,
06-04-2020,Stellenbosch,16,0,0.0%,#DIV/0!, 0.3 ,2.1%, 48.0 , 1.1 ,7.1%, 14.0 
07-04-2020,Stellenbosch,16,0,0.0%,#DIV/0!, -   ,0.0%,#DIV/0!, 0.7 ,4.5%, 22.4 
08-04-2020,Stellenbosch,16,0,0.0%,#DIV/0!, -   ,0.0%,#DIV/0!, 0.7 ,4.5%, 22.4 
09-04-2020,Stellenbosch,16,0,0.0%,#DIV/0!, -   ,0.0%,#DIV/0!, 0.7 ,4.5%, 22.4 
10-04-2020,Stellenbosch,16,0,0.0%,#DIV/0!, -   ,0.0%,#DIV/0!, 0.1 ,0.9%, 112.0 
11-04-2020,Stellenbosch,16,0,0.0%,#DIV/0!, -   ,0.0%,#DIV/0!, -   ,0.0%,#DIV/0!
12-04-2020,Stellenbosch,16,0,0.0%,#DIV/0!, -   ,0.0%,#DIV/0!, -   ,0.0%,#DIV/0!
13-04-2020,Stellenbosch,16,0,0.0%,#DIV/0!, -   ,0.0%,#DIV/0!, -   ,0.0%,#DIV/0!
14-04-2020,Stellenbosch,16,0,0.0%,#DIV/0!, -   ,0.0%,#DIV/0!, -   ,0.0%,#DIV/0!
15-04-2020,Stellenbosch,16,0,0.0%,#DIV/0!, -   ,0.0%,#DIV/0!, -   ,0.0%,#DIV/0!
16-04-2020,Stellenbosch,14,-2,-12.5%,-8.0, (0.7),-4.2%, (24.0), (0.3),-1.8%, (56.0)
17-04-2020,Stellenbosch,14,0,0.0%,#DIV/0!, (0.7),-4.8%, (21.0), (0.3),-2.0%, (49.0)
18-04-2020,Stellenbosch,13,-1,-7.1%,-14.0, (1.0),-7.1%, (14.0), (0.4),-3.1%, (32.7)
19-04-2020,Stellenbosch,13,0,0.0%,#DIV/0!, (0.3),-2.6%, (39.0), (0.4),-3.3%, (30.3)
20-04-2020,Stellenbosch,13,0,0.0%,#DIV/0!, (0.3),-2.6%, (39.0), (0.4),-3.3%, (30.3)
21-04-2020,Stellenbosch,14,1,7.7%,13.0, 0.3 ,2.6%, 39.0 , (0.3),-2.2%, (45.5)
22-04-2020,Stellenbosch,15,1,7.1%,14.0, 0.7 ,4.8%, 21.0 , (0.1),-1.0%, (98.0)
23-04-2020,Stellenbosch,15,0,0.0%,#DIV/0!, 0.7 ,4.4%, 22.5 , 0.1 ,1.0%, 105.0 
24-04-2020,Stellenbosch,15,0,0.0%,#DIV/0!, 0.3 ,2.2%, 45.0 , 0.1 ,1.0%, 105.0 
29-03-2020,Witzenberg,0,,,,,,,,,
31-03-2020,Witzenberg,0,0,#DIV/0!,#DIV/0!,,,,,,
01-04-2020,Witzenberg,0,0,#DIV/0!,#DIV/0!,,,,,,
02-04-2020,Witzenberg,0,0,#DIV/0!,#DIV/0!, -   ,#DIV/0!,#DIV/0!,,,
03-04-2020,Witzenberg,0,0,#DIV/0!,#DIV/0!, -   ,#DIV/0!,#DIV/0!,,,
04-04-2020,Witzenberg,0,0,#DIV/0!,#DIV/0!, -   ,#DIV/0!,#DIV/0!,,,
05-04-2020,Witzenberg,0,0,#DIV/0!,#DIV/0!, -   ,#DIV/0!,#DIV/0!,,,
06-04-2020,Witzenberg,0,0,#DIV/0!,#DIV/0!, -   ,#DIV/0!,#DIV/0!, -   ,#DIV/0!,#DIV/0!
07-04-2020,Witzenberg,0,0,#DIV/0!,#DIV/0!, -   ,#DIV/0!,#DIV/0!, -   ,#DIV/0!,#DIV/0!
08-04-2020,Witzenberg,0,0,#DIV/0!,#DIV/0!, -   ,#DIV/0!,#DIV/0!, -   ,#DIV/0!,#DIV/0!
09-04-2020,Witzenberg,0,0,#DIV/0!,#DIV/0!, -   ,#DIV/0!,#DIV/0!, -   ,#DIV/0!,#DIV/0!
10-04-2020,Witzenberg,0,0,#DIV/0!,#DIV/0!, -   ,#DIV/0!,#DIV/0!, -   ,#DIV/0!,#DIV/0!
11-04-2020,Witzenberg,0,0,#DIV/0!,#DIV/0!, -   ,#DIV/0!,#DIV/0!, -   ,#DIV/0!,#DIV/0!
12-04-2020,Witzenberg,0,0,#DIV/0!,#DIV/0!, -   ,#DIV/0!,#DIV/0!, -   ,#DIV/0!,#DIV/0!
13-04-2020,Witzenberg,0,0,#DIV/0!,#DIV/0!, -   ,#DIV/0!,#DIV/0!, -   ,#DIV/0!,#DIV/0!
14-04-2020,Witzenberg,1,1,#DIV/0!,#DIV/0!, 0.3 ,#DIV/0!,#DIV/0!, 0.1 ,#DIV/0!,#DIV/0!
15-04-2020,Witzenberg,1,0,0.0%,#DIV/0!, 0.3 ,33.3%, 3.0 , 0.1 ,14.3%, 7.0 
16-04-2020,Witzenberg,3,2,200.0%,0.5, 1.0 ,100.0%, 1.0 , 0.4 ,42.9%, 2.3 
17-04-2020,Witzenberg,5,2,66.7%,1.5, 1.3 ,44.4%, 2.3 , 0.7 ,23.8%, 4.2 
18-04-2020,Witzenberg,10,5,100.0%,1.0, 3.0 ,60.0%, 1.7 , 1.4 ,28.6%, 3.5 
19-04-2020,Witzenberg,12,2,20.0%,5.0, 3.0 ,30.0%, 3.3 , 1.7 ,17.1%, 5.8 
20-04-2020,Witzenberg,24,12,100.0%,1.0, 6.3 ,52.8%, 1.9 , 3.4 ,28.6%, 3.5 
21-04-2020,Witzenberg,27,3,12.5%,8.0, 5.7 ,23.6%, 4.2 , 3.7 ,15.5%, 6.5 
22-04-2020,Witzenberg,35,8,29.6%,3.4, 7.7 ,28.4%, 3.5 , 4.9 ,18.0%, 5.6 
23-04-2020,Witzenberg,43,8,22.9%,4.4, 6.3 ,18.1%, 5.5 , 5.7 ,16.3%, 6.1 
24-04-2020,Witzenberg,55,12,27.9%,3.6, 9.3 ,21.7%, 4.6 , 7.1 ,16.6%, 6.0 
29-03-2020,Garden Route,21,,,,,,,,,
31-03-2020,Garden Route,26,5,23.8%,4.2,,,,,,
01-04-2020,Garden Route,30,4,15.4%,6.5,,,,,,
02-04-2020,Garden Route,37,7,23.3%,4.3, 5.3 ,17.8%, 5.6 ,,,
03-04-2020,Garden Route,42,5,13.5%,7.4, 5.3 ,14.4%, 6.9 ,,,
04-04-2020,Garden Route,45,3,7.1%,14.0, 5.0 ,11.9%, 8.4 ,,,
05-04-2020,Garden Route,50,5,11.1%,9.0, 4.3 ,9.6%, 10.4 ,,,
06-04-2020,Garden Route,53,3,6.0%,16.7, 3.7 ,7.3%, 13.6 , 4.6 ,9.1%, 10.9 
07-04-2020,Garden Route,54,1,1.9%,53.0, 3.0 ,5.7%, 17.7 , 4.0 ,7.5%, 13.3 
08-04-2020,Garden Route,55,1,1.9%,54.0, 1.7 ,3.1%, 32.4 , 3.6 ,6.6%, 15.1 
09-04-2020,Garden Route,55,0,0.0%,#DIV/0!, 0.7 ,1.2%, 82.5 , 2.6 ,4.7%, 21.4 
10-04-2020,Garden Route,55,0,0.0%,#DIV/0!, 0.3 ,0.6%, 165.0 , 1.9 ,3.4%, 29.6 
11-04-2020,Garden Route,56,1,1.8%,55.0, 0.3 ,0.6%, 165.0 , 1.6 ,2.9%, 35.0 
12-04-2020,Garden Route,57,1,1.8%,56.0, 0.7 ,1.2%, 84.0 , 1.0 ,1.8%, 56.0 
13-04-2020,Garden Route,56,-1,-1.8%,-57.0, 0.3 ,0.6%, 171.0 , 0.4 ,0.8%, 133.0 
14-04-2020,Garden Route,55,-1,-1.8%,-56.0, (0.3),-0.6%, (168.0), 0.1 ,0.3%, 392.0 
15-04-2020,Garden Route,56,1,1.8%,55.0, (0.3),-0.6%, (165.0), 0.1 ,0.3%, 385.0 
16-04-2020,Garden Route,57,1,1.8%,56.0, 0.3 ,0.6%, 168.0 , 0.3 ,0.5%, 196.0 
17-04-2020,Garden Route,55,-2,-3.5%,-28.5, -   ,0.0%,#DIV/0!, -   ,0.0%,#DIV/0!
18-04-2020,Garden Route,57,2,3.6%,27.5, 0.3 ,0.6%, 165.0 , 0.1 ,0.3%, 385.0 
19-04-2020,Garden Route,60,3,5.3%,19.0, 1.0 ,1.8%, 57.0 , 0.4 ,0.8%, 133.0 
20-04-2020,Garden Route,60,0,0.0%,#DIV/0!, 1.7 ,2.8%, 36.0 , 0.6 ,1.0%, 105.0 
21-04-2020,Garden Route,60,0,0.0%,#DIV/0!, 1.0 ,1.7%, 60.0 , 0.7 ,1.2%, 84.0 
22-04-2020,Garden Route,60,0,0.0%,#DIV/0!, -   ,0.0%,#DIV/0!, 0.6 ,1.0%, 105.0 
23-04-2020,Garden Route,60,0,0.0%,#DIV/0!, -   ,0.0%,#DIV/0!, 0.4 ,0.7%, 140.0 
24-04-2020,Garden Route,60,0,0.0%,#DIV/0!, -   ,0.0%,#DIV/0!, 0.7 ,1.2%, 84.0 
